"postcode","instals","estimated_dwellings","density","capacity","capunder10","cap10_100","capover100","countunder10","count10_100","countover100","pot_kw","pot_sqm","pot_gwh"
"4017","7651","13713","51.7","38465.0","29992.0","8251.0","222.0","7089","561","1","191468.0","1,225,395","279.3"
"4018","2574","7428","33.2","12411.0","9713.0","1567.0","1131.0","2469","104","1","60749.0","388,796","88.6"
"4019","3486","7392","43.0","19036.0","13724.0","5312.0","0.0","3175","311","0","120360.0","770,302","176.6"
"4020","4724","8102","51.4","27282.0","19092.0","8190.0","0.0","4163","561","0","117735.0","753,502","171.7"
"4021","1895","4014","44.6","8760.0","7128.0","1632.0","0.0","1792","103","0","56223.0","359,826","82.1"
"4022","1753","2465","67.1","8246.0","6269.0","1977.0","0.0","1654","99","0","43704.0","279,703","63.8"
"4025","223","337","61.1","847.0","537.0","310.0","0.0","206","17","0","7084.0","45,338","10.3"
"4030","1796","4017","38.8","11394.0","7462.0","3932.0","0.0","1559","237","0","67184.0","429,978","98.0"
"4031","1824","4184","37.7","11293.0","7339.0","3954.0","0.0","1579","245","0","63159.0","404,220","92.5"
"4032","1753","4759","33.2","11096.0","6947.0","2957.0","1192.0","1582","167","4","87805.0","561,952","128.0"
"4034","7860","17263","41.7","43476.0","31147.0","11679.0","650.0","7195","663","2","306443.0","1,961,234","450.2"
"4035","6549","8777","66.2","37466.0","26963.0","10503.0","0.0","5810","739","0","150344.0","962,204","219.2"
"4036","1544","2731","52.4","8545.0","6212.0","1705.0","628.0","1431","112","1","38000.0","243,202","55.4"
"4037","1944","2561","68.1","11099.0","8204.0","2895.0","0.0","1744","200","0","44103.0","282,259","64.3"
"4051","3808","8843","36.8","24119.0","15338.0","8186.0","595.0","3252","554","2","152864.0","978,332","223.7"
"4053","7368","17041","39.0","40888.0","29375.0","11119.0","394.0","6652","714","2","233061.0","1,491,594","340.4"
"4054","2580","5517","43.9","12883.0","10259.0","2086.0","538.0","2424","154","2","69952.0","447,693","102.1"
"4055","4836","7141","61.2","26073.0","19494.0","6579.0","0.0","4367","469","0","108745.0","695,967","158.6"
"4059","1157","3084","32.4","7193.0","4543.0","2650.0","0.0","1000","157","0","45990.0","294,333","67.2"
"4060","2013","4014","42.7","12494.0","8180.0","4314.0","0.0","1714","299","0","59344.0","379,801","86.5"
"4061","3523","6117","51.5","19569.0","14421.0","5148.0","0.0","3148","375","0","86575.0","554,078","126.3"
"4064","1320","3455","31.1","10981.0","5195.0","4735.0","1051.0","1073","245","2","58508.0","374,451","85.7"
"4065","1582","3406","39.0","9909.0","6367.0","3542.0","0.0","1327","255","0","42391.0","271,303","61.8"
"4066","1393","2931","40.1","9878.0","5617.0","4017.0","244.0","1176","216","1","63067.0","403,631","92.1"
"4067","745","1644","37.8","5103.0","2922.0","2181.0","0.0","621","124","0","42624.0","272,792","62.1"
"4068","2564","5603","38.2","17334.0","10069.0","6761.0","504.0","2140","423","1","97848.0","626,225","142.6"
"4069","7240","12484","48.2","45396.0","28369.0","17027.0","0.0","6012","1228","0","235771.0","1,508,933","330.5"
"4070","3054","4599","56.8","17870.0","11955.0","5915.0","0.0","2611","443","0","83082.0","531,724","116.4"
"4073","2201","3227","59.9","13269.0","8557.0","4712.0","0.0","1932","269","0","61468.0","393,394","90.3"
"4074","5641","9065","56.6","30110.0","22001.0","8109.0","0.0","5135","506","0","161254.0","1,032,027","236.3"
"4075","3993","8785","39.9","23046.0","15973.0","7073.0","0.0","3504","489","0","129606.0","829,477","189.6"
"4076","1075","2253","37.2","19226.0","3447.0","9969.0","5810.0","837","231","7","168151.0","1,076,167","241.2"
"4077","5147","13319","35.7","29295.0","19948.0","7821.0","1526.0","4751","393","3","189276.0","1,211,370","278.4"
"4078","5332","9415","52.6","26910.0","21365.0","5245.0","300.0","4952","379","1","129181.0","826,757","181.0"
"4101","1527","3165","41.1","11721.0","5540.0","5604.0","577.0","1302","223","2","93195.0","596,448","135.7"
"4102","749","1562","40.1","5369.0","2718.0","2425.0","226.0","627","121","1","47332.0","302,926","69.1"
"4103","1675","3996","38.2","8910.0","6666.0","2244.0","0.0","1527","148","0","52102.0","333,450","76.0"
"4104","827","2112","32.3","5491.0","3132.0","2359.0","0.0","682","145","0","31293.0","200,276","45.8"
"4105","1924","4672","36.4","11541.0","7507.0","4034.0","0.0","1700","224","0","78770.0","504,126","115.7"
"4106","472","798","41.0","11476.0","1435.0","4634.0","5407.0","327","139","6","114680.0","733,955","171.5"
"4107","1310","2383","46.7","9440.0","4951.0","4489.0","0.0","1113","197","0","71245.0","455,970","105.8"
"4108","1280","2408","41.7","10647.0","4279.0","6037.0","331.0","1003","276","1","114843.0","734,992","171.2"
"4109","7799","13038","55.0","38770.0","28437.0","9333.0","1000.0","7171","627","1","201242.0","1,287,946","293.5"
"4110","4058","4547","68.7","39549.0","16103.0","17809.0","5637.0","3123","927","8","250703.0","1,604,500","374.2"
"4111","169","241","64.7","831.0","648.0","183.0","0.0","156","13","0","12556.0","80,356","18.3"
"4112","1920","2910","59.8","9886.0","7525.0","2361.0","0.0","1740","180","0","39106.0","250,281","57.0"
"4113","5410","10987","45.3","28373.0","19835.0","7720.0","818.0","4976","430","4","144930.0","927,553","211.4"
"4114","3500","11372","28.3","19042.0","12377.0","6465.0","200.0","3221","278","1","130657.0","836,206","190.9"
"4115","4630","6896","61.6","24160.0","18436.0","5724.0","0.0","4246","384","0","112222.0","718,221","164.3"
"4116","5774","10373","51.4","29829.0","22277.0","6048.0","1504.0","5331","440","3","130061.0","832,388","189.6"
"4117","496","489","80.2","7384.0","1972.0","3596.0","1816.0","392","99","5","28410.0","181,822","41.9"
